Mode,Threads,Size,Time_ms,FLOPs
OMP,1,200,4.2699,16000000
OMP,2,200,2.39,16000000
OMP,4,200,1.3025,16000000
OMP,8,200,1.4823,16000000
OMP,1,400,32.9067,128000000
OMP,2,400,20.5563,128000000
OMP,4,400,17.0014,128000000
OMP,8,400,10.3696,128000000
OMP,1,800,422.188,1024000000
OMP,2,800,192.723,1024000000
OMP,4,800,143.432,1024000000
OMP,8,800,97.6454,1024000000
OMP,1,1200,2104.78,3456000000
OMP,2,1200,1887.24,3456000000
OMP,4,1200,1264.49,3456000000
OMP,8,1200,586.035,3456000000
OMP,1,1600,8579.88,8192000000
OMP,2,1600,5486.34,8192000000
OMP,4,1600,3716.03,8192000000
OMP,8,1600,2499.6,8192000000
OMP,1,2000,21766.9,16000000000
OMP,2,2000,17835.3,16000000000
OMP,4,2000,10597.4,16000000000
OMP,8,2000,8109.82,16000000000
